"id"|"label"|"type"|"img"
100086|"Puck 2 > 194"|"wreck"|"/Navis/Ships/Ship033/Image/033f0016.jpg"
100087|"Puck 3 > 195"|"wreck"|"/Navis/Ships/Ship033/Image/033f0017.jpg"
100089|"Kerk-Avezaath 1 > 10"|"wreck"|"/Navis/Ships/Ship010/Image/010F2002.jpg"
100090|"New Guys House > 21"|"wreck"|"/Navis/Ships/Ship021/Image/021f0004.jpg"
100091|"County Hall > 22"|"wreck"|"/Navis/Ships/Ship022/Image/022f0001.jpg"
100092|"Ljubljana > 93"|"wreck"|"/Navis/Ships/Ship032/Image/032f0008.jpg"
100094|"Marseille 2 > 44"|"wreck"|"/Navis/Ships/Ship044/Image/044F2002.jpg"
100095|"Marseille 3 > 45"|"wreck"|"/Navis/Ships/Ship045/Image/045F2002.jpg"
100096|"Marseille 4 > 46"|"wreck"|"/Navis/Ships/Ship046/Image/046F2001.jpg"
100097|"Marseille 5 > 47"|"wreck"|"/Navis/Ships/Ship047/Image/047F2001.jpg"
100100|"Comacchio > 50"|"wreck"|"/Navis/Ships/Ship050/Image/050f0004.jpg"
100101|"Fiumicino 1 > 51"|"wreck"|"/Navis/Ships/Ship051/Image/051f0028.jpg"
100102|"Fiumicino 2 > 52"|"wreck"|"/Navis/Ships/Ship052/Image/052f0005.jpg"
100103|"Fiumicino 3 > 53"|"wreck"|"/Navis/Ships/Ship053/Image/053f0006.jpg"
100104|"Fiumicino 4 > 54"|"wreck"|"/Navis/Ships/Ship054/Image/054f0011.jpg"
100105|"Fiumicino 5 > 55"|"wreck"|"/Navis/Ships/Ship055/Image/055f0007.jpg"
100106|"Marsala 1 > 56"|"wreck"|"/Navis/Ships/Ship056/Image/056F0089.jpg"
100107|"Monfalcone > 57"|"wreck"|"/Navis/Ships/Ship057/Image/057f0031.jpg"
100108|"Mazarrón I > 58"|"wreck"|"/Navis/Ships/Ship058/Image/058f0009.jpg"
100109|"Dorestad 1 > 65"|"wreck"|"/Navis/Ships/Ship065/Image/065F2001.jpg"
100112|"Zwammerdam 1 > 75"|"wreck"|"/Navis/Ships/Ship075/Image/075F2003.jpg"
100113|"Vechten 1 > 83"|"wreck"|"/Navis/Ships/Ship031/Image/031f3001.jpg"
100114|"Marsala 2 > 84"|"wreck"|"/Navis/Ships/Ship031/Image/031f3002.jpg"
100115|"De Meern 2 > 86"|"wreck"|"/Navis/Ships/Ship032/Image/032f0001.jpg"
100116|"Pesse 1 > 87"|"wreck"|"/Navis/Ships/Ship032/Image/032f0002.jpg"
100117|"Graveney > 88"|"wreck"|"/Navis/Ships/Ship032/Image/032f0003.jpg"
100118|"Sutton Hoo > 91"|"wreck"|"/Navis/Ships/Ship032/Image/032f0006.jpg"
100119|"Aquileia > 94"|"wreck"|"/Navis/Ships/Ship032/Image/032f0009.jpg"
100120|"Woerden 4 > 95"|"wreck"|"/Navis/Ships/Ship032/Image/032f0010.jpg"
100121|"De Meern 3 > 98"|"wreck"|"/Navis/Ships/Ship032/Image/032f0013.jpg"
100122|"Hardinxveld-Giessendam 1 > 99"|"wreck"|"/Navis/Ships/Ship032/Image/032f0014.jpg"
100123|"Hardinxveld-Giessendam 2 > 100"|"wreck"|"/Navis/Ships/Ship032/Image/032f0015.jpg"
100124|"Utrecht 3 > 68"|"wreck"|"/Navis/Ships/Ship068/Image/068F2005.jpg"
100125|"Skuldelev 2/4 > 2"|"wreck"|"/Navis/Ships/Ship002/Image/002f002.jpg"
100126|"Skuldelev 3 > 3"|"wreck"|"/Navis/Ships/Ship003/Image/003f004.jpg"
100127|"Skuldelev 5 > 4"|"wreck"|"/Navis/Ships/Ship004/Image/004f001.jpg"
100128|"Skuldelev 6 > 5"|"wreck"|"/Navis/Ships/Ship005/Image/005f001.jpg"
100129|"Hjortspring > 6"|"wreck"|"/Navis/Ships/Ship006/Image/006f015.jpg"
100130|"Port-Vendres 1 > 116"|"wreck"|"/Navis/Ships/Ship035/Image/035f0010.jpg"
100131|"Gredstedbro > 119"|"wreck"|"/Navis/Ships/Ship035/Image/035f0013.jpg"
100132|"Pommeroeul 2 > 19"|"wreck"|"/Navis/Ships/Ship019/Image/019F2001.jpg"
100135|"Bevaix > 39"|"wreck"|"/Navis/Ships/Ship039/Image/039f2005.jpg"
100136|"Yverdon 1 > 40"|"wreck"|"/Navis/Ships/Ship040/Image/040f2003.jpg"
100137|"Yverdon 2 > 41"|"wreck"|"/Navis/Ships/Ship041/Image/041f2004.jpg"
100139|"Model 1 Guernsey > 114"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0008.jpg"
100140|"Model 2 Guernsey > 115"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0009.jpg"
100142|"Reconstruction Marseille 3 > 117"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0011.jpg"
100143|"Model Oberstimm 2 > 118"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0012.jpg"
100144|"Model Mainz 6 > 103"|"reconstruction_model"|"/Navis/Ships/Ship032/Image/032f0018.jpg"
100145|"Model Xanten-Wardt > 125"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0019.jpg"
100146|"Reconstruction Alphen > 104"|"reconstruction_model"|"/Navis/Ships/Ship032/Image/032f0019.jpg"
100147|"Reconstruction Mainz A > 101"|"reconstruction_model"|"/Navis/Ships/Ship032/Image/032f0016.jpg"
100148|"Reconstruction Mainz 3 > 102"|"reconstruction_model"|"/Navis/Ships/Ship032/Image/032f0017.jpg"
100149|"Reconstruction Ladby > 176"|"reconstruction_model"|"/Navis/Ships/Ship032/Image/032f3001.jpg"
100150|"Reconstruction Blackfriars 1 > 105"|"reconstruction_model"|"/Navis/Ships/Ship020/Image/020f0015.jpg"
100151|"Reconstruction detail Blackfriars 1 > 106"|"reconstruction_model"|"/Navis/Ships/Ship032/Image/032f1001.jpg"
100152|"Model North Ferriby 1 > 107"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0001.jpg"
100153|"Model 1 Hjortspring > 108"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0002.jpg"
100154|"Model 2 Hjortspring > 109"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0003.jpg"
100155|"Model Ljubljana > 110"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0004.jpg"
100156|"Reconstruction Skuldelev 3 > 111"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0005.jpg"
100157|"Model Skuldelev 3 > 112"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0006.jpg"
100158|"Reconstruction Skuldelev 5 > 113"|"reconstruction_model"|"/Navis/Ships/Ship035/Image/035f0007.jpg"
200001|"Begram glass vessel"|"generic"|"Af/AfObj0001Img01F.jpg"
200002|"Mosaic de les jeux"|"generic"|"Al/ALObj0001Img00f.jpg"
200003|"Cherchel Mosaic"|"generic"|"Al/AlObj0002Img00f.jpg"
200004|"Constantine Triumph of Neptune"|"generic"|"Al/ALObj0003Img00f.jpg"
200005|"Mosaic from Cherchel, Maison aux deux bassins"|"generic"|"Al/ALObj0004Img01f.jpg"
200006|"Mosaic from Khenchala"|"generic"|"Al/ALObj0005Img01F.jpg"
200007|"Hippone panoramic mosaic"|"generic"|"Al/ALObj0006Img00F.jpg"
200008|"G&ouml;lbaÅŸi-Trysa Relief"|"generic"|"At/AtObj0001Img00F.jpg"
200009|"Theseus und Ariadne Mosaik"|"generic"|"At/AtObj0002Img01aF.jpg"
200010|"Aschenurne aus Volterra"|"generic"|"At/AtObj0003Img01F.jpg"
200011|"Kontorniat-Medaillon"|"generic"|"At/AtObj00010Img01F.jpg"
200012|"Halskette aus Szil&aacute;gysomly&oacute;"|"generic"|"At/AtObj00011Img01F.jpg"
200013|"Schiffsfibel aus Privatsammlung"|"generic"|"At/AtObj0016Img01F.jpg"
200014|"Terra Sigillata Schale"|"generic"|"At/AtObj0017Img01F.jpg"
200015|"St. Veit Schiff"|"generic"|"At/AtObj00019Img01F.jpg"
200016|"Flusskahn"|"generic"|"At/AtObj00020Img01F.jpg"
200017|"""Felix Itala""-Schiff"|"generic"|"At/ATObj00021mg01F.jpg"
200018|"Seggauer Schiff"|"generic"|"At/AtObj00022Img01F.jpg"
200019|"Klosterneuburger Schiffsemail"|"generic"|"At/AtObj00030Img01F.jpg"
200020|"Sackener Relief"|"generic"|"At/AtObj00031Img01AF.jpg"
200021|"Halleiner Goldschiff"|"generic"|"At/AtObj00032Img01F.jpg"
200022|"Wiener Gemme 6"|"generic"|"At/AtObj00033Img01F.jpg"
200023|"Gemme 1"|"generic"|"At/AtObj00034Img01f.jpg"
200024|"Wiener Gemmenring 9"|"generic"|"At/ATObj00035Img01f.jpg"
200025|"Wiener Gemmenring 8"|"generic"|"At/ATObj00036Img01f.jpg"
200026|"Wiener Gemmenring 7"|"generic"|"At/ATObj00037Img01f.jpg"
200027|"Wiener Gemmenring 10"|"generic"|"At/ATObj00038Img01f.jpg"
200028|"Gemme 2"|"generic"|"At/AtObj00041Img01F.jpg"
200029|"Gemme 3"|"generic"|"At/AtObj00042Img01F.jpg"
200030|"Gemme 4"|"generic"|"At/AtObj00150Img01F.jpg"
200031|"Gemme 5"|"generic"|"At/AtObj00151Img01af.jpg"
200032|"Wiener Gemme 11"|"generic"|"At/ATObj00500Img01f.jpg"
200033|"Wiener Gemme 12"|"generic"|"At/ATObj00501Img01f.jpg"
200034|"Wiener Gemme 13"|"generic"|"At/ATObj00502Img01f.jpg"
200035|"Relief de Virton"|"generic"|"Be/BeObj0005Img00F.jpg"
200036|"Galei als olielamp"|"generic"|"Be/BeObj0001Img00F.jpg"
200037|"Lysippides Cup"|"generic"|"Be/BeObj0002Img00F.jpg"
200038|"Codex Bernensis 88, fol. 11v"|"generic"|"Ch/ChObj0001Img01F.jpg"
200039|"Codex Bernensis 88, fol. 75"|"generic"|"Ch/ChObj0002Img01F.jpg"
200040|"Kaiseraugster Silberplatte"|"generic"|"Ch/ChObj0003Img01F.jpg"
200041|"Codex Gallensis 250, pag. 472"|"generic"|"Ch/ChObj0004Img01F.jpg"
200042|"Codex Gallensis 250 p. 462"|"generic"|"Ch/ChObj0005Img01F.jpg"
200043|"Plaque-boucle de Vevey"|"generic"|"Ch/ChObj0006Img01F.jpg"
200044|"Cod. Basel AN IV 18"|"generic"|"Ch/ChObj0007Img01F.jpg"
200045|"Cod. Basel AN IV 18, fol. 36v"|"generic"|"Ch/ChObj0008Img01F.jpg"
200046|"Codex Gallensis 250, pag. 530"|"generic"|"Ch/ChObj0009Img01F.jpg"
200047|"Dorestad munt 1"|"generic"|"Ch/ChObj0010Img01F.jpg"
200048|"Mittelkorintischer Aryballos in Basel"|"generic"|"Ch/ChObj0013Img01F.jpg"
200049|"Kaiseraugster Siegelring"|"generic"|"Ch/ChObj0016Img01F.jpg"
200050|"Kriegsschiff-Relief"|"generic"|"Ch/ChObj0027Img01F.jpg"
200051|"Vindonissa Lampe 1"|"generic"|"Ch/ChObj0031Img01F.jpg"
200052|"Vindonissa Lampe 2"|"generic"|"Ch/ChObj0032Img01F.jpg"
200053|"Zillis Deckengem&auml;lde"|"generic"|"Ch/ChObj0033Img01F.jpg"
200054|"Hadrian Kontorniat"|"generic"|"Ch/ChObj0040Img01F.jpg"
200055|"Basel S&auml;lenkrater"|"generic"|"Ch/ChObj0011Img01F.jpg"
200056|"Dinos Fragment"|"generic"|"Ch/ChObj0012Img01F.jpg"
200057|"Schwarzfigurige Hydria"|"generic"|"CH/CHObj0014Img01F.jpg"
200058|"Nezakcij Situla"|"generic"|"Cr/CrObj0001Img01F.jpg"
200059|"Middle Cypriot clay model ship"|"generic"|"Cy/Cy_Obj00001Img01f.jpg"
200060|"Î¤Î¿ ÎºÎµÏÎ±Î¼Î¹ÎºÏŒ Î±Ï€ÏŒ Ï„Î¿ ÎšÎ±Î¶Î¬Ï†Î±Î½Î¹"|"generic"|"Cy/Cy_Obj0001Img01F.jpg"
200061|"Graffito of a ship from Enkomi"|"generic"|"Cy/Cy_Obj0003Img01f.jpg"
200062|"Clay model ship in Cyprus Museum, Nicosia"|"generic"|"Cy/Cy_Obj0004Img01f.jpg"
200063|"Clay model ship from Amathus"|"generic"|"Cy/Cy_Obj0005Img01f.jpg"
200064|"Clay model ship in Cyprus Museum, Nicosia"|"generic"|"Cy/Cy_Obj0006Img01f.jpg"
200065|"Clay model ship in British Museum"|"generic"|"Cy/Cy_Obj0007Img01t.jpg"
200066|"Clay model ship from Amathus"|"generic"|"Cy/Cy_Obj0008Img01f.jpg"
200067|"Clay model ship in British Museum"|"generic"|"Cy/Cy_Obj0009Img01f.jpg"
200068|"Oenochoe with a painted ship in British Museum"|"generic"|"Cy/Cy_Obj0010Img01f.jpg"
200069|"Blussus Grabstein"|"generic"|"De/DeObj0001Img01F.jpg"
200070|"Bad Kreuznach Mosaik"|"generic"|"De/DeObj0002Img01f.jpg"
200071|"Neumagener Monument 1"|"generic"|"De/DeObj0003Img00f.jpg"
200072|"Neumagener Monument 2"|"generic"|"De/DeObj0003bImg00f.jpg"
200073|"Weisenauer Grabstein"|"generic"|"De/DeObj0004Img01F.jpg"
200074|"Grabstein aus K&ouml;ln"|"generic"|"De/DeObj0006Img02f.jpg"
200075|"J&uuml;nkerather Grabstein"|"generic"|"De/DeObj0007Img01f.jpg"
200076|"Mainz Klinikum Ziegelstein"|"generic"|"De/DeObj0008Img01f.jpg"
200077|"Trierer Terra-Sigillata Scherbe 1"|"generic"|"De/DeObj0009Img01F.jpg"
200078|"Trierer Terra-Sigillata Scherbe 2"|"generic"|"De/DeObj0010Img01F.jpg"
200079|"Trierer Sigillata-Model"|"generic"|"De/DeObj0011Img01F.jpg"
200080|"Igeler Grabmonument der Secundiner"|"generic"|"De/DeObj0012Img00f.jpg"
200081|"Neumagener Treidelschiff"|"generic"|"De/DeObj0013Img01f.jpg"
200082|"K&ouml;lner Schiff"|"generic"|"De/DeObj0014Img01AF.jpg"
200083|"Bernward S&auml;ule"|"generic"|"De/DeObj0015Img01F.jpg"
200084|"Goldglas aus K&ouml;ln-Braunsfeld"|"generic"|"De/DeObj0016Img01F.jpg"
200085|"Mainzer Himmelsglobus"|"generic"|"De/DeObj0017Img01F.jpg"
200086|"Rammsporn aus Marmor"|"generic"|"De/DeObj0018Img01F.jpg"
200087|"Codex Mon. Lat (Clm) 210, fol 163"|"generic"|"De/DeObj0019Img01F.jpg"
200088|"Codex Dresdensis Dc. 183 (fol. 13)"|"generic"|"De/DeObj0020Img01F.jpg"
200089|"Prora eines Votivschiffes"|"generic"|"De/DeObj0021Img01F.jpg"
200090|"Codex Philippicus 1830 fol. 11 et 12"|"generic"|"De/DeObj0022Img01F.jpg"
200091|"Codex Philippicus 1832"|"generic"|"De/DeObj0023Img01F.jpg"
200092|"Nordafrikanische Terra-Sigillata-Schale, Nr. 2"|"generic"|"De/DeObj0026Img01F.jpg"
200093|"Nordafrikanische Terra-Sigillata-Schale, Nr. 1"|"generic"|"De/DeObj0027Img01F.jpg"
200094|"Nordafrikanische Terra-Sigillata-Schale, Nr. 4"|"generic"|"De/DeObj0028Img01F.jpg"
200095|"Nordafrikanische Terra-Sigillata-Schale, Nr. 3"|"generic"|"De/DeObj0029Img01F.jpg"
200096|"Nordafrikanische Terra-Sigillata-Schale, Nr. 7"|"generic"|"De/DeObj0030Img01F.jpg"
200097|"Nordafrikanische Terra-Sigillata-Gipsform"|"generic"|"De/DeObj0031Img01F.jpg"
200098|"Nordafrikanische Terra-Sigillata-Schale, Nr. 8"|"generic"|"De/DeObj0032Img01F.jpg"
200099|"Nordafrikanische Terra-Sigillata-Schale, Nr. 5"|"generic"|"De/DeObj0033Img01F.jpg"
200100|"Nordafrikanische Terra-Sigillata-Schale, Nr. 6"|"generic"|"De/DeObj0034Img01F.jpg"
200101|"Glasmedaillon im RGZM"|"generic"|"De/DeObj0035Img01F.jpg"
200102|"Codex Aureus Epternacensis, Hs. 156142, fol. 23"|"generic"|"De/DeObj0036Img01F.jpg"
200103|"Gemme 2 aus Xanten"|"generic"|"De/DeObj00368Img01F.jpg"
200104|"Codex Egberti  Cod. 24"|"generic"|"De/DeObj0037Img01F.jpg"
200105|"Codex 210, fol. 119"|"generic"|"De/DeObj0038Img01F.jpg"
200106|"Cod. W&uuml;rzburg, UB.M.p.th.f. 69"|"generic"|"De/DeObj0039Img01F.jpg"
200107|"Wandmalerei in der Reichenauer Georgskirche"|"generic"|"De/DeObj0040Img01F.jpg"
200108|"Evangeliar Otto III., Clm.(Codex  latinus  moncencis) 4453, fol. 103v"|"generic"|"De/DeObj0041Img01F.jpg"
200109|"Hitda-Codex 1640, fol. 117r"|"generic"|"De/DeObj0042Img01F.jpg"
200110|"Neuburger Schiffsfibel"|"generic"|"De/DeObj0043Img01F.jpg"
200111|"Knochen mit Runen aus Brake"|"generic"|"De/DeObj0044Img01F.jpg"
200112|"Stuttgarter Psalterium fol. 60r"|"generic"|"De/DeObj0046aImg01F.jpg"
200113|"Stuttgarter Psalterium fol. 79r"|"generic"|"De/DeObj0046bImg01F.jpg"
200114|"Stuttgarter Psalterium fol. 117v"|"generic"|"De/DeObj0046cImg01F.jpg"
200115|"Stuttgarter Psalterium fol. 124r"|"generic"|"De/DeObj0046dImg01F.jpg"
200116|"Berliner Rollsiegel aus Uruk"|"generic"|"Iq/IqObj0005Img00F.jpg"
200117|"Lampe 1 im RGZM"|"generic"|"De/DeObj0051Img01F.jpg"
200118|"Lampe 2 im RGZM"|"generic"|"De/DeObj0052Img01F.jpg"
200119|"Lampe 3 im RGZM"|"generic"|"De/DeObj0053Img01F.jpg"
200120|"Schiffsf&ouml;rmige Lampe im RGZM"|"generic"|"De/DeObj0054Img01F.jpg"
200121|"Lampe 5 im RGZM"|"generic"|"De/DeObj0055Img01F.jpg"
200122|"Lampe 6 im RGZM"|"generic"|"De/DeObj0056Img01F.jpg"
200123|"Glasschiff im RGZM"|"generic"|"De/DeObj0057Img01F.jpg"
200124|"Schiffsf&ouml;rmige Fibel 2 des RGZM"|"generic"|"De/DeObj0058Img01F.jpg"
200125|"Schiffsf&ouml;rmige Fibel 1 des RGZM"|"generic"|"De/DeObj0059Img01F.jpg"
200126|"Glasschiff von St. Aldegund"|"generic"|"De/DeObj0060Img01F.jpg"
200127|"Perikopenbuch, Clm. 15713, fol. 22"|"generic"|"De/DeObj0061Img01F.jpg"
200128|"Karlsruher Sarkophag"|"generic"|"De/DeObj0063Img00F.jpg"
200129|"Byzantinischer Kastenbeschlag"|"generic"|"De/DeObj0064Img01F.jpg"
200130|"Wilferdinger Grabrelief"|"generic"|"De/DeObj0065Img01F.jpg"
200131|"Karlsruher Mosaik"|"generic"|"De/DeObj0066Img01F.jpg"
200132|"K&ouml;lner Lampe 4 in Bootsform"|"generic"|"De/DeObj0068Img01F.jpg"
200133|"K&ouml;lner Lampe 2 in Bootsform"|"generic"|"De/DeObj0070Img01F.jpg"
200134|"Barbarinisches Nilmosaik (Ausschnitt)"|"generic"|"De/DeObj0072Img01F.jpg"
200135|"Lampe aus Neuss"|"generic"|"De/DeObj0073Img01F.jpg"
200136|"Berliner Lampe 1"|"generic"|"De/DeObj0074Img01F.jpg"
200137|"Berliner Lampe 2"|"generic"|"De/DeObj0075Img01F.jpg"
200138|"Berliner Lampe 3"|"generic"|"De/DeObj0076Img01F.jpg"
200139|"Berliner Lampe 4"|"generic"|"De/DeObj0078Img01F.jpg"
200140|"Asklepios Schiff aus Rom"|"generic"|"De/DeObj0079Img01F.jpg"
200141|"Glienecke Sarkophag"|"generic"|"De/DeObj0080Img01F.jpg"
200142|"Berliner Kelch aus Kertsch"|"generic"|"De/DeObj0081Img01F.jpg"
200143|"Stuttgarter Lampe"|"generic"|"De/DeObj00082Img01F.jpg"
200144|"Berliner Lampe 5"|"generic"|"De/DeObj0090Img01F.jpg"
200145|"Trierer Schiffslampe 2"|"generic"|"De/DeObj00092Img01F.jpg"
