"fk_id_object"|"fk_id_metaindex"|"name"|"en"|"de"
300337|318|"technique"|"Minted"|"Gepr&auml;gt"
300337|113|"objecttype"|"Coin"|"M&uuml;nze"
300338|3151|"objecttype"|"Aes"|"Aes"
300338|423|"culture"|"Roman"|"Römisch"
300338|113|"objecttype"|"Coin"|"M&uuml;nze"
300338|318|"technique"|"Minted"|"Gepr&auml;gt"
300338|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300339|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300339|3158|"objecttype"|"Dupondius"|"Dupondius"
300339|423|"culture"|"Roman"|"Römisch"
300339|318|"technique"|"Minted"|"Gepr&auml;gt"
300339|113|"objecttype"|"Coin"|"M&uuml;nze"
300340|113|"objecttype"|"Coin"|"M&uuml;nze"
300340|423|"culture"|"Roman"|"Römisch"
300340|3158|"objecttype"|"Dupondius"|"Dupondius"
300340|318|"technique"|"Minted"|"Gepr&auml;gt"
300340|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300341|423|"culture"|"Roman"|"Römisch"
300341|3154|"objecttype"|"Denar"|"Denar"
300341|318|"technique"|"Minted"|"Gepr&auml;gt"
300341|113|"objecttype"|"Coin"|"M&uuml;nze"
300341|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300342|3156|"objecttype"|"Doppelsesterz"|"Doppelsesterz"
300342|318|"technique"|"Minted"|"Gepr&auml;gt"
300342|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300342|113|"objecttype"|"Coin"|"M&uuml;nze"
300342|423|"culture"|"Roman"|"Römisch"
300343|3158|"objecttype"|"Dupondius"|"Dupondius"
300343|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300343|423|"culture"|"Roman"|"Römisch"
300343|318|"technique"|"Minted"|"Gepr&auml;gt"
300343|113|"objecttype"|"Coin"|"M&uuml;nze"
300344|113|"objecttype"|"Coin"|"M&uuml;nze"
300344|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300344|3151|"objecttype"|"Aes"|"Aes"
300344|423|"culture"|"Roman"|"Römisch"
300344|318|"technique"|"Minted"|"Gepr&auml;gt"
300345|318|"technique"|"Minted"|"Gepr&auml;gt"
300345|3165|"objecttype"|"Tetradrachme"|"Tetradrachme"
300345|113|"objecttype"|"Coin"|"M&uuml;nze"
300345|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300345|423|"culture"|"Roman"|"Römisch"
300346|113|"objecttype"|"Coin"|"M&uuml;nze"
300346|3154|"objecttype"|"Denar"|"Denar"
300346|423|"culture"|"Roman"|"Römisch"
300346|318|"technique"|"Minted"|"Gepr&auml;gt"
300346|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300347|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300347|3154|"objecttype"|"Denar"|"Denar"
300347|113|"objecttype"|"Coin"|"M&uuml;nze"
300347|318|"technique"|"Minted"|"Gepr&auml;gt"
300347|423|"culture"|"Roman"|"Römisch"
300348|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300348|3164|"objecttype"|"Sesterz"|"Sesterz"
300348|423|"culture"|"Roman"|"Römisch"
300348|113|"objecttype"|"Coin"|"M&uuml;nze"
300348|318|"technique"|"Minted"|"Gepr&auml;gt"
300349|113|"objecttype"|"Coin"|"M&uuml;nze"
300349|318|"technique"|"Minted"|"Gepr&auml;gt"
300349|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300349|423|"culture"|"Roman"|"Römisch"
300349|3164|"objecttype"|"Sesterz"|"Sesterz"
300350|423|"culture"|"Roman"|"Römisch"
300350|3164|"objecttype"|"Sesterz"|"Sesterz"
300350|113|"objecttype"|"Coin"|"M&uuml;nze"
300350|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300350|318|"technique"|"Minted"|"Gepr&auml;gt"
300351|113|"objecttype"|"Coin"|"M&uuml;nze"
300351|318|"technique"|"Minted"|"Gepr&auml;gt"
300351|3164|"objecttype"|"Sesterz"|"Sesterz"
300351|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300351|423|"culture"|"Roman"|"Römisch"
300352|113|"objecttype"|"Coin"|"M&uuml;nze"
300352|3151|"objecttype"|"Aes"|"Aes"
300352|423|"culture"|"Roman"|"Römisch"
300352|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300352|318|"technique"|"Minted"|"Gepr&auml;gt"
300353|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300353|113|"objecttype"|"Coin"|"M&uuml;nze"
300353|423|"culture"|"Roman"|"Römisch"
300353|318|"technique"|"Minted"|"Gepr&auml;gt"
300353|3151|"objecttype"|"Aes"|"Aes"
300354|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300354|423|"culture"|"Roman"|"Römisch"
300354|3151|"objecttype"|"Aes"|"Aes"
300354|318|"technique"|"Minted"|"Gepr&auml;gt"
300354|113|"objecttype"|"Coin"|"M&uuml;nze"
300355|3162|"objecttype"|"Quinar"|"Quinar"
300355|113|"objecttype"|"Coin"|"M&uuml;nze"
300355|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300355|423|"culture"|"Roman"|"Römisch"
300355|318|"technique"|"Minted"|"Gepr&auml;gt"
300356|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300356|318|"technique"|"Minted"|"Gepr&auml;gt"
300356|113|"objecttype"|"Coin"|"M&uuml;nze"
300356|3158|"objecttype"|"Dupondius"|"Dupondius"
300356|423|"culture"|"Roman"|"Römisch"
300357|3154|"objecttype"|"Denar"|"Denar"
300357|423|"culture"|"Roman"|"Römisch"
300357|113|"objecttype"|"Coin"|"M&uuml;nze"
300357|318|"technique"|"Minted"|"Gepr&auml;gt"
300357|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300358|3164|"objecttype"|"Sesterz"|"Sesterz"
300358|318|"technique"|"Minted"|"Gepr&auml;gt"
300358|113|"objecttype"|"Coin"|"M&uuml;nze"
300358|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300358|423|"culture"|"Roman"|"Römisch"
300359|423|"culture"|"Roman"|"Römisch"
300359|318|"technique"|"Minted"|"Gepr&auml;gt"
300359|113|"objecttype"|"Coin"|"M&uuml;nze"
300359|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300359|3158|"objecttype"|"Dupondius"|"Dupondius"
300360|113|"objecttype"|"Coin"|"M&uuml;nze"
300360|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300360|3151|"objecttype"|"Aes"|"Aes"
300360|318|"technique"|"Minted"|"Gepr&auml;gt"
300360|423|"culture"|"Roman"|"Römisch"
300361|3151|"objecttype"|"Aes"|"Aes"
300361|113|"objecttype"|"Coin"|"M&uuml;nze"
300361|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300361|318|"technique"|"Minted"|"Gepr&auml;gt"
300361|423|"culture"|"Roman"|"Römisch"
300362|423|"culture"|"Roman"|"Römisch"
300362|318|"technique"|"Minted"|"Gepr&auml;gt"
300362|113|"objecttype"|"Coin"|"M&uuml;nze"
300362|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300362|3151|"objecttype"|"Aes"|"Aes"
300363|113|"objecttype"|"Coin"|"M&uuml;nze"
300363|423|"culture"|"Roman"|"Römisch"
300363|3151|"objecttype"|"Aes"|"Aes"
300363|318|"technique"|"Minted"|"Gepr&auml;gt"
300363|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300364|113|"objecttype"|"Coin"|"M&uuml;nze"
300364|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300364|318|"technique"|"Minted"|"Gepr&auml;gt"
300364|423|"culture"|"Roman"|"Römisch"
300364|3151|"objecttype"|"Aes"|"Aes"
300365|113|"objecttype"|"Coin"|"M&uuml;nze"
300365|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300365|318|"technique"|"Minted"|"Gepr&auml;gt"
300365|3151|"objecttype"|"Aes"|"Aes"
300365|423|"culture"|"Roman"|"Römisch"
300366|113|"objecttype"|"Coin"|"M&uuml;nze"
300366|423|"culture"|"Roman"|"Römisch"
300366|3151|"objecttype"|"Aes"|"Aes"
300366|318|"technique"|"Minted"|"Gepr&auml;gt"
300366|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300367|113|"objecttype"|"Coin"|"M&uuml;nze"
300367|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300367|318|"technique"|"Minted"|"Gepr&auml;gt"
300367|423|"culture"|"Roman"|"Römisch"
300367|3151|"objecttype"|"Aes"|"Aes"
300368|423|"culture"|"Roman"|"Römisch"
300368|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300368|3151|"objecttype"|"Aes"|"Aes"
300368|113|"objecttype"|"Coin"|"M&uuml;nze"
300368|318|"technique"|"Minted"|"Gepr&auml;gt"
300369|318|"technique"|"Minted"|"Gepr&auml;gt"
300369|423|"culture"|"Roman"|"Römisch"
300369|3151|"objecttype"|"Aes"|"Aes"
300369|113|"objecttype"|"Coin"|"M&uuml;nze"
300369|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300370|318|"technique"|"Minted"|"Gepr&auml;gt"
300370|423|"culture"|"Roman"|"Römisch"
300370|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300370|113|"objecttype"|"Coin"|"M&uuml;nze"
300370|3151|"objecttype"|"Aes"|"Aes"
300371|113|"objecttype"|"Coin"|"M&uuml;nze"
300371|318|"technique"|"Minted"|"Gepr&auml;gt"
300371|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300371|3151|"objecttype"|"Aes"|"Aes"
300371|423|"culture"|"Roman"|"Römisch"
300372|113|"objecttype"|"Coin"|"M&uuml;nze"
300372|3151|"objecttype"|"Aes"|"Aes"
300372|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300372|318|"technique"|"Minted"|"Gepr&auml;gt"
300372|423|"culture"|"Roman"|"Römisch"
300373|318|"technique"|"Minted"|"Gepr&auml;gt"
300373|423|"culture"|"Roman"|"Römisch"
300373|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300373|3158|"objecttype"|"Dupondius"|"Dupondius"
300373|113|"objecttype"|"Coin"|"M&uuml;nze"
300374|3151|"objecttype"|"Aes"|"Aes"
300374|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300374|318|"technique"|"Minted"|"Gepr&auml;gt"
300374|113|"objecttype"|"Coin"|"M&uuml;nze"
300374|423|"culture"|"Roman"|"Römisch"
300375|318|"technique"|"Minted"|"Gepr&auml;gt"
300375|423|"culture"|"Roman"|"Römisch"
300375|113|"objecttype"|"Coin"|"M&uuml;nze"
300375|3151|"objecttype"|"Aes"|"Aes"
300375|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300376|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300376|3154|"objecttype"|"Denar"|"Denar"
300376|423|"culture"|"Roman"|"Römisch"
300376|113|"objecttype"|"Coin"|"M&uuml;nze"
300376|318|"technique"|"Minted"|"Gepr&auml;gt"
300377|3151|"objecttype"|"Aes"|"Aes"
300377|113|"objecttype"|"Coin"|"M&uuml;nze"
300377|423|"culture"|"Roman"|"Römisch"
300377|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300377|318|"technique"|"Minted"|"Gepr&auml;gt"
300378|423|"culture"|"Roman"|"Römisch"
300378|3164|"objecttype"|"Sesterz"|"Sesterz"
300378|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300378|113|"objecttype"|"Coin"|"M&uuml;nze"
300378|318|"technique"|"Minted"|"Gepr&auml;gt"
300379|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300379|318|"technique"|"Minted"|"Gepr&auml;gt"
300379|3164|"objecttype"|"Sesterz"|"Sesterz"
300379|423|"culture"|"Roman"|"Römisch"
300379|113|"objecttype"|"Coin"|"M&uuml;nze"
300380|423|"culture"|"Roman"|"Römisch"
300380|113|"objecttype"|"Coin"|"M&uuml;nze"
